avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene
1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1,[1. 1. 1. 1. 1. 1. 1. 1. 1.]
10.2,"[-0.0326077  -0.15833339 -0.15210684  0.36013502  0.0760648   0.27912939
 -0.14421241  0.14833798  0.21857697]",13.0,"[ 0.22877331  0.46494391 -0.6691421   0.10467041  0.5967124   0.59032551
  0.28902024  0.6096253   0.2453734 ]",13.0,"[ 0.36506823  0.03370452 -0.53967309 -0.01795442  0.76234538  0.72871939
 -0.12265092  0.00215479  0.43061951]"
16.0,"[ 0.3731546   0.04044364 -0.49076748 -0.0145872   0.72134462  0.76490122
 -0.11213102  0.03198486  0.41396204]",23.5,"[ 0.72358342 -0.41669769 -0.37199693 -0.13484911  0.87642611  0.86090077
 -0.7598633  -0.49686087  0.48342821]",23.25,"[ 0.62635627 -0.42651566 -0.32910904 -0.1302972   0.99766838  0.74237402
 -0.56829737 -0.55427829  0.57849669]"
25.75,"[ 0.58762605 -0.364472   -0.36380003 -0.13347768  0.95886242  0.63024707
 -0.54289864 -0.51770711  0.65534898]",42.0,"[ 0.95805828 -0.43775247 -0.40986057 -0.14724346  0.7793364   0.66997729
 -0.9398113  -0.28690507  0.72725747]",40.5,"[ 0.78046394 -0.36871183 -0.41670555 -0.16098587  0.81320529  0.79198513
 -0.82623099 -0.39087951  0.64714641]"
27.35,"[ 0.80604353 -0.39260023 -0.42023005 -0.14492486  0.7183221   0.74599587
 -0.84518797 -0.36806668  0.67790545]",43.5,"[ 1.05644292 -0.51133499 -0.46429454 -0.13232215  0.63481014  0.97626045
 -0.71348879 -0.3144709   0.59931643]",39.25,"[ 0.86152739 -0.41248142 -0.47312664 -0.13198239  0.51973316  0.81484971
 -1.00164949 -0.32676882  0.71754312]"
38.25,"[ 0.7383153  -0.34181018 -0.43745777 -0.12734242  0.44963343  0.79702184
 -1.12623665 -0.33513499  0.80689937]",51.0,"[ 0.67516461 -0.38117293 -0.38883103 -0.13776688  0.42194641  0.56938871
 -1.08381298 -0.41645763  0.50484168]",51.0,"[ 0.63435746 -0.36263557 -0.46398528 -0.13010066  0.42103334  0.67470669
 -1.39417155 -0.36148631  0.80013965]"
