dropped, rows
151, 46
87, 19
155, 48
158, 47
249, 83
197, 64
137, 38
148, 43
167, 51
249, 87
69, 12
241, 83
124, 33
141, 42
165, 50
174, 56
190, 61
93, 21
161, 48
