dropped, rows
617, 241
7936, 3287
905, 363
404, 153
14623, 6071
20634, 8579
449, 171
7057, 2926
531, 211
4347, 1801
550, 219
305, 116
479, 181
4484, 1870
3524, 1455
8824, 3652
4312, 1778
10868, 4536
18149, 7563
3428, 1421
